2025-11-03 11:26:18.379 [reactor-http-nio-2] DEBUG o.s.w.r.r.m.a.RequestMappingHandlerMapping - [a7e89aeb-25] Mapped to sura.pruebalegoback.controller.PatientController#getAllPatients()
2025-11-03 11:26:18.571 [reactor-http-nio-2] INFO  s.p.controller.PatientController - Consultando todos los pacientes
2025-11-03 11:26:18.575 [reactor-http-nio-2] INFO  s.p.u.patient.QueryPatientsUseCase - consultando todos los pacientes
2025-11-03 11:26:18.575 [reactor-http-nio-2] DEBUG s.p.i.PatientRepositoryAdapter - Buscando todos los pacientes
2025-11-03 11:26:18.832 [reactor-http-nio-2] DEBUG o.s.w.r.r.m.a.ResponseBodyResultHandler - [a7e89aeb-25] Using 'application/json' given [*/*] and supported [application/json, application/*+json, application/x-ndjson, text/event-stream]
2025-11-03 11:26:18.832 [reactor-http-nio-2] DEBUG o.s.w.r.r.m.a.ResponseBodyResultHandler - [a7e89aeb-25] 0..N [sura.pruebalegoback.dto.PatientResponse]
2025-11-03 11:26:19.007 [reactor-http-nio-2] DEBUG o.s.r2dbc.core.DefaultDatabaseClient - Executing SQL statement [SELECT patients.* FROM patients]
2025-11-03 11:26:19.424 [reactor-tcp-nio-1] DEBUG s.p.i.PatientRepositoryAdapter - Paciente recuperado: 818dc58a-821c-4d34-b210-c5421f802cda
2025-11-03 11:26:19.424 [reactor-tcp-nio-1] DEBUG s.p.u.patient.QueryPatientsUseCase - Pacientes encontrados: 818dc58a-821c-4d34-b210-c5421f802cda
2025-11-03 11:26:19.425 [reactor-tcp-nio-1] DEBUG s.p.controller.PatientController - Paciente encontrado: 818dc58a-821c-4d34-b210-c5421f802cda
2025-11-03 11:26:19.539 [reactor-tcp-nio-1] DEBUG s.p.i.PatientRepositoryAdapter - Paciente recuperado: 6d64c94a-3e3a-46cc-a3c5-6aa4af65a3fd
2025-11-03 11:26:19.539 [reactor-tcp-nio-1] DEBUG s.p.u.patient.QueryPatientsUseCase - Pacientes encontrados: 6d64c94a-3e3a-46cc-a3c5-6aa4af65a3fd
2025-11-03 11:26:19.539 [reactor-tcp-nio-1] DEBUG s.p.controller.PatientController - Paciente encontrado: 6d64c94a-3e3a-46cc-a3c5-6aa4af65a3fd
2025-11-03 11:26:19.550 [reactor-tcp-nio-1] DEBUG s.p.i.PatientRepositoryAdapter - Paciente recuperado: f334ff86-6ea9-491f-84b7-f55afb6f623a
2025-11-03 11:26:19.550 [reactor-tcp-nio-1] DEBUG s.p.u.patient.QueryPatientsUseCase - Pacientes encontrados: f334ff86-6ea9-491f-84b7-f55afb6f623a
2025-11-03 11:26:19.550 [reactor-tcp-nio-1] DEBUG s.p.controller.PatientController - Paciente encontrado: f334ff86-6ea9-491f-84b7-f55afb6f623a
2025-11-03 11:26:19.554 [reactor-tcp-nio-1] DEBUG s.p.i.PatientRepositoryAdapter - Paciente recuperado: 31cad829-6e92-49fa-99c1-2585e2b25c70
2025-11-03 11:26:19.573 [reactor-tcp-nio-1] DEBUG s.p.u.patient.QueryPatientsUseCase - Pacientes encontrados: 31cad829-6e92-49fa-99c1-2585e2b25c70
